team,color_1,color_2,color_3
Duke Blue Devils,#013088,,
Duquesne Dukes,#041e42,#ba0c2f,
ECAC Hockey,#005189,#d40843,
Earlham Quakers,#861f41,,
East Carolina Pirates,#582c83,#ffc72c,
East Central Tigers,#000000,#ff5200,
East Stroudsburg Warriors,#db0436,#000000,
East Tennessee State Buccaneers,#041e42,#ffc72c,
East Texas Baptist Tigers,#081f2c,#ecbc00,
Eastern Arizona Gila Monsters,#340265,,
Eastern Connecticut Warriors,#0c2340,#76232f,
Eastern Eagles,#6f2c3f,#5b6770,
Eastern Illinois Panthers,#003399,#b2b2b2,
Eastern Kentucky Colonels,#4c151e,#b5b5b5,
Eastern Mennonite Royals,#0057b7,#010101,
Eastern Michigan Eagles,#046a38,,
Eastern Nazarene Lions,#bf0d3e,#010101,
Eastern New Mexico Greyhounds,#006633,#a7a9ac,
Eastern Oregon Mountaineers,#002855,#b3a369,
Eastern Washington Eagles,#b7142e,#000000,
Eckerd Tritons,#4f868e,#00205b,#000000
Edgewood Eagles,#9d2235,#010101,
Edinboro Fighting Scots,#bb131a,#808080,
Edward Waters Tigers,#772583,#e87722,
Elizabeth City State Vikings,#0032a0,#ba0c2f,
Elizabethtown Blue Jays,#004c97,#c8c9c7,
Elmhurst Bluejays,#0c2340,#00a3e0,
Elmira Soaring Eagles,#3f1e6b,#86754d,#f1cd44
Elms Blazers,#154734,#89764b,
Elon Phoenix,#73000a,#b59a57,
Embry–Riddle Eagles,#00549a,#ffcd4d,
Emerson Lions,#2e008b,#ffc72c,
Emmanuel Lions,#f2a900,#862633,#000000
Emmanuel Saints,#0047bb,#ffcd00,
Emory & Henry Wasps,#1b3d75,#d5ad28,
Emory Eagles,#002878,#d28e00,
Emporia State Hornets,#231f20,#bb8d0a,
Endicott Gulls,#00325b,#007c5a,
Erskine Flying Fleet,#9c1c1f,#ffd65d,
Eureka Red Devils,#862633,#ac8400,
Evangel Valor,#75243d,#98988f,
Evansville Purple Aces,#4c2683,#f68b1f,
Evergreen State Geoducks,#046a38,#010101,
FEU Tamaraws,#006400,#ffd700,
FIU Panthers,#081e3f,#b6862c,
Fairfield Stags,#e0143e,#231f20,
Fairleigh Dickinson Devils,#002f6c,#9d2235,
Fairleigh Dickinson Knights,#b30838,#005596,
Fairmont State Fighting Falcons,#6f263d,#75787b,
Farmingdale State Rams,#004c45,#010101,
Faulkner Eagles,#0032a0,#bbbcbc,
Fayetteville State Broncos,#0067b1,#b0b7bc,
Felican Golden Falcons,#3e4827,#fedb00,
Ferris State Bulldogs,#ba0c2f,#ffd043,
Ferrum Panthers,#010101,#998542,
Fiesta Bowl,#d91a32,#ffde00,
Findlay Oilers,#000000,#f47920,
Finlandia Lions,#0060a9,#c0c2c4,#48484a
Fisher Falcons,#0c2340,#a2aaad,
Fisk Bulldogs,#002d72,#f0b323,
Fitchburg State Falcons,#00563f,#e9af2f,
Five Towns Sound,#7a1128,#010101,
Flagler Saints,#a52238,#f4811f,
Florida A&M Rattlers,#008344,#f4811f,
Florida Atlantic Owls,#003366,#cc0000,
Florida Falcons,#c8102e,#010101,
Florida Gators,#003087,#fa4616,
Florida Gulf Coast Eagles,#004785,#00794c,
Florida Memorial Lions,#003da5,#fe5000,
Florida National Conquistadors,#9d2235,#046a38,
Florida Southern Moccasins,#0060a9,#e03a3e,
Florida State Seminoles,#782f40,#ceb888,
Florida Tech Panthers,#770000,#9da0a0,
Fontbonne Griffins,#250e62,#ffb81c,
Fordham Rams,#700429,#838070,
Fort Hays State Tigers,#000000,#fdb913,
Fort Lewis Skyhawks,#000066,#ffcc33,
Fort Valley State Wildcats,#003087,#eaaa00,
Fort Wayne Mastodons,#003f87,#9b9b9c,
Framingham State Rams,#ebab00,#000000,
Francis Marion Patriots,#193a80,#bb1a1a,
Franciscan Fighting Barons,#2c5234,#998542,
Franklin & Marshall Diplomats,#0035ad,#73cfff,
Franklin Grizzlies,#ffd100,#001e60,
Franklin Pierce Ravens,#a91938,#6d6e71,
Freed–Hardeman Lions,#6f2c3f,#ffcd00,
Fresno Pacific Sunbirds,#001f55,#fc5d00,
Fresno State Bulldogs,#c41230,#13284c,
Friends Falcons,#ab0635,#444f51,
Frostburg State Bobcats,#ba0c2f,#010101,
Furman Paladins,#582c83,#a7a8aa,
Gallaudet Bison,#002a5c,#cfab7a,
Gannon Golden Knights,#960a2c,#f9a72b,
Gardner–Webb Runnin' Bulldogs,#a6192e,#000000,
Geneva Golden Tornadoes,#89734c,#010101,
George Fox Bruins,#081e3f,#bc9c16,
George Mason Patriots,#006633,#ffcc33,
George Washington Colonials,#00264a,#e5d19d,#fffffe
Georgetown Hoyas,#041e42,#afa9a0,
Georgetown Tigers,#000000,#ff6600,
Georgia Bulldogs,#ba0c2f,#000000,
Georgia College Bobcats,#003399,#006633,
Georgia Gwinnett Grizzlies,#006341,#a2aaad,
Georgia Southern Eagles,#041e42,#a99260,
Georgia Southwestern State Hurricanes,#1c3f7b,#c69e29,
Georgia State Panthers,#0039a6,#cc0000,
Georgia Tech Yellow Jackets,#b3a369,#003057,#000000
Georgian Court Lions,#06038d,#c69214,
Gettysburg Bullets,#e87722,#002f6c,
Glenvile State Pioneers,#003da5,#010101,
Goldey–Beacom Lightning,#0c2340,#cba052,
Gonzaga Bulldogs,#041e42,#c8102e,
Gordon Fighting Scots,#003882,#00ffff,
Goshen Maple Leafs,#582c83,#010101,
Goucher Gophers,#003da5,#ffd100,
Governors State Jaguars,#010101,#e57200,
Grace Lancers,#e4002b,#010101,
Graceland Yellowjackets,#00275c,#ffcb0b,
Grambling State Tigers,#000000,#ecaa00,
Grand Canyon Antelopes,#522398,#000000,
Grand Valley State Lakers,#0033a0,#000000,
Grand View Vikings,#ba0c2f,#010101,
Grantham Talons,#003366,#d7d7d7,
Great American Conference,#002b5c,#b5121b,
Great Lakes Intercollegiate Athletic Conference,#1d3d66,#5c8dc6,
Great Midwest Athletic Conference,#005288,#000000,
Great Plains Athletic Conference,#670000,#bdb193,
Green Bay Phoenix,#006a4d,#183029,
Greensboro Pride,#007a53,#8d9093,
Greenville Panthers,#e35205,#010101,
Grinnell Pioneers,#000000,#da291c,
Grove City Wolverines,#da291c,,
Guilford Quakers,#862633,#d9d9d9,
Gulf South Conference,#000000,#cf0a2c,
Gustavus Adolphus Gusties,#000000,#ffcf00,
Gwynedd Mercy Griffins,#bf0d3e,#ffb81c,
Hamilton Continentals,#002f86,#d6ba8b,
Hamline Pipers,#95021e,#bfb9b6,
Hampden–Sydney Tigers,#9d183d,#b1b7bb,
Hampton Pirates,#265198,#a0a0a2,
Hanibal–Lagrange Trojans,#a72b2a,#002855,
